Cuenta,Contacto,Puesto,Celular,Correo_electronico,Stage,Visitas_Web,Emails_Abiertos,Llamadas_Realizadas,Presupuesto_Estimado,Sector,Tamaño_Empresa,Antiguedad_Cuenta_Meses,Interacciones_Totales,Cliente
Powell and Sons,Kimberly Soto,Especialista de Producto,947937475,brian33@example.org,negotiating,3,1,0,15662,Educación,Pequeña,40,4,0
Acosta and Sons,Kristina Collins,Especialista de Producto,297671443,creed@example.com,closing,5,0,0,24750,Retail,Mediana,6,5,0
Bridges-Jacobs,Carla Scott,Consultor,064411197,stevensmith@example.net,selling,4,1,3,49108,Servicios,Pequeña,13,8,1
Burke and Sons,Brandon Marshall,Analista,153926693,loriwalton@example.org,selling,1,4,0,27055,Servicios,Grande,42,5,0
Thomas-Jackson,Jenna Norman,CEO,882661396,olopez@example.com,qualifying,1,3,0,22218,Educación,Pequeña,3,4,0
Manning-Hill,Scott Cooper,CEO,674829686,ffuller@example.org,selling,3,0,1,12245,Servicios,Pequeña,17,4,0
West Ltd,Chelsey Howard,Analista,854114313,bhill@example.com,qualifying,2,2,1,9777,Manufactura,Pequeña,27,5,0
"Ellis, Rowland and Hendrix",Tracey Frost,Especialista de Producto,452715296,gwilliams@example.com,negotiating,4,0,0,10215,Manufactura,Mediana,31,4,0
"Malone, Bell and Ross",Joe Robinson,Gerente de Marketing,329960700,michael22@example.net,qualifying,1,1,2,6879,Retail,Grande,47,4,0
"Anderson, Munoz and Smith",Eric Hayes,Gerente de Marketing,822100418,matthewrubio@example.com,selling,2,0,0,27834,Tecnología,Pequeña,35,2,0
Santos Group,Vanessa Jimenez,CEO,118157116,nicole18@example.net,selling,5,2,0,34605,Salud,Pequeña,26,7,0
Woodard Group,Douglas Morgan,Consultor,608523069,reynoldsgary@example.com,closing,3,3,0,16468,Servicios,Grande,28,6,0
"Obrien, Morgan and Patterson",Mary Oconnell,CTO,293416042,woodspatricia@example.net,qualifying,1,0,0,26290,Educación,Grande,10,1,0
White Ltd,Dr. Anita Zimmerman MD,Especialista de Producto,535002126,wboyd@example.org,qualifying,0,4,2,24033,Retail,Mediana,11,6,0
Griffin-Williams,William Baker,Ejecutivo de Ventas,388565271,leslietorres@example.net,qualifying,2,3,3,31369,Salud,Mediana,39,8,1
Burton-Young,Samuel Flores,Ejecutivo de Ventas,432298766,chandavid@example.org,closing,6,0,0,6356,Servicios,Grande,42,6,0
"Jackson, Salazar and Moore",Casey Powers,CTO,160800396,christinawilkinson@example.com,qualifying,3,3,2,12229,Retail,Grande,31,8,0
Ross-Shaw,Kenneth George,Especialista de Producto,863946761,lhernandez@example.org,qualifying,2,2,0,-509,Tecnología,Pequeña,19,4,0
Martin Inc,Joseph Smith,Consultor,646483620,eric70@example.org,selling,5,2,3,36726,Manufactura,Pequeña,17,10,0
Peck LLC,Mr. Jonathon Williams DVM,Ejecutivo de Ventas,487747581,briannamedina@example.net,negotiating,3,3,2,1461,Servicios,Pequeña,23,8,0
Douglas-Petersen,Melanie Welch,CEO,119713477,raymond72@example.org,negotiating,4,3,0,596,Salud,Pequeña,43,7,0
James and Sons,Joshua Calhoun,CEO,847265573,jasonmckee@example.org,qualifying,2,2,0,19509,Educación,Pequeña,38,4,0
Johnson-Wright,Kristin Ramirez,Especialista de Producto,214412350,ponceandre@example.com,qualifying,5,3,0,18437,Manufactura,Pequeña,16,8,0
"Fernandez, Thomas and Jennings",Shawn Lawson,Consultor,547557577,aaron88@example.net,selling,2,1,1,41289,Tecnología,Pequeña,39,4,0
Herring-Gutierrez,Sylvia Gutierrez,Gerente de Marketing,572654658,nperry@example.org,qualifying,2,3,0,28154,Retail,Pequeña,33,5,0
Thompson PLC,Arthur Smith,Analista,269616295,rmorton@example.com,negotiating,3,6,0,44591,Tecnología,Pequeña,43,9,0
"Thompson, Hall and Mills",Ruben Smith,Gerente de Marketing,497863788,thomassmith@example.org,qualifying,0,1,0,24456,Manufactura,Pequeña,32,1,0
Coleman-Thompson,Mrs. Ashley Gomez,Analista,116382559,troyjensen@example.net,negotiating,4,2,0,10922,Retail,Pequeña,21,6,0
"Montoya, Hernandez and Hill",Thomas Johnson,CTO,859209897,sallen@example.org,selling,0,1,1,13582,Retail,Pequeña,26,2,0
"Kent, Barry and Torres",Timothy Hall,Especialista de Producto,506574045,tammy20@example.net,negotiating,5,0,1,13790,Retail,Pequeña,10,6,0
Cox Inc,Johnny Mcclure,CTO,888141015,george66@example.net,closing,1,1,1,41818,Retail,Pequeña,9,3,0
Rosales Ltd,Kim Barker,Gerente de Marketing,446170890,igardner@example.org,negotiating,5,3,2,15853,Tecnología,Pequeña,13,10,0
"Williams, Smith and Wilson",John Estrada,Ejecutivo de Ventas,080372514,alexanderriley@example.org,qualifying,2,2,0,5171,Retail,Pequeña,36,4,0
